Area Type,Area Name,Period,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage ,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Regional Planning Unit,Southern Border,2018-2028,11-2021,Marketing Managers,2790,3200,410,0.1,610,2050,3070,64.92,135023.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Southern Border,2018-2028,11-2022,Sales Managers,6580,7020,430,0.1,1380,4650,6470,58.06,120760.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Southern Border,2018-2028,11-2031,Public Relations and Fundraising Managers,660,720,60,0.1,150,440,650,0.00,0.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Southern Border,2018-2028,11-3011,Administrative Services Managers,3330,3650,320,0.1,960,1950,3230,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,Southern Border,2018-2028,11-3021,Computer and Information Systems Managers,5360,6130,770,0.1,990,3500,5260,78.90,164120.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Southern Border,2018-2028,11-3031,Financial Managers,6960,8350,1380,0.2,1660,4250,7280,66.11,137514.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Southern Border,2018-2028,11-3051,Industrial Production Managers,1760,1910,150,0.1,390,940,1480,55.22,114864.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Southern Border,2018-2028,11-3061,Purchasing Managers,830,920,100,0.1,210,520,830,63.27,131602.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Southern Border,2018-2028,11-3071,"Transportation, Storage, and Distribution Managers",1220,1360,140,0.1,280,730,1150,46.08,95845.00,High school diploma or equivalent,5 years or more,None
Regional Planning Unit,Southern Border,2018-2028,11-3111,Compensation and Benefits Managers,140,150,10,0.1,40,80,130,64.97,135125.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Southern Border,2018-2028,11-3121,Human Resources Managers,1510,1690,180,0.1,360,990,1540,63.60,132297.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Southern Border,2018-2028,11-3131,Training and Development Managers,380,440,50,0.1,100,260,420,61.55,128033.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,Southern Border,2018-2028,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",6690,6230,-470,-0.1,4020,2400,5950,31.85,66235.00,High school diploma or equivalent,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,00-0000,"Total, All Occupations",1643100,1782240,139140,0.1,775960,1289280,2204370,18.61,38701.00,N/A,N/A,N/A
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-1011,Chief Executives,2370,2310,-60,-0.0,620,1040,1600,80.70,167862.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-1021,General and Operations Managers,16530,18080,1540,0.1,3630,11400,16570,46.30,96297.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-1031,Legislators,410,430,20,0.1,110,210,340,0.00,40211.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-2011,Advertising and Promotions Managers,50,50,0,0.0,10,40,50,62.50,130010.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-2021,Marketing Managers,630,680,50,0.1,130,450,630,69.16,143842.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-2022,Sales Managers,4750,4990,250,0.1,990,3330,4570,52.61,109429.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-2031,Public Relations and Fundraising Managers,380,410,30,0.1,90,250,370,0.00,0.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-3011,Administrative Services Managers,2330,2570,230,0.1,670,1370,2280,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-3021,Computer and Information Systems Managers,1180,1310,130,0.1,210,760,1100,65.60,136433.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-3031,Financial Managers,4010,4630,620,0.2,940,2400,3950,52.73,109677.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-3051,Industrial Production Managers,1470,1570,110,0.1,330,780,1220,48.21,100282.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-3061,Purchasing Managers,340,370,20,0.1,90,210,320,53.78,111861.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-3071,"Transportation, Storage, and Distribution Managers",1800,2150,350,0.2,430,1130,1910,45.87,95409.00,High school diploma or equivalent,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-3111,Compensation and Benefits Managers,100,100,10,0.1,30,60,90,58.86,122421.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-3121,Human Resources Managers,1040,1140,100,0.1,250,680,1020,53.21,110676.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-3131,Training and Development Managers,170,190,20,0.1,40,110,170,52.75,109723.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",46670,43490,-3190,-0.1,28030,16760,41600,19.12,39788.00,High school diploma or equivalent,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9021,Construction Managers,3750,4150,400,0.1,830,2010,3240,49.15,102228.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9031,"Education Administrators, Preschool and Childcare Center/Program",540,640,100,0.2,150,310,560,26.47,55042.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9032,"Education Administrators, Elementary and Secondary School",3030,3270,230,0.1,810,1630,2680,0.00,133773.00,Master's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9033,"Education Administrators, Postsecondary",970,1030,60,0.1,260,520,840,59.77,124313.00,Master's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9039,"Education Administrators, All Other",620,680,50,0.1,170,340,560,58.64,121975.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9041,Architectural and Engineering Managers,970,1050,80,0.1,180,550,810,73.39,152662.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9051,Food Service Managers,4560,5150,590,0.1,1480,4080,6150,24.65,51273.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9061,Funeral Service Managers,300,350,50,0.2,80,160,300,0.00,0.00,Associate's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9071,Gaming Managers,60,70,10,0.1,20,50,80,43.35,90153.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9081,Lodging Managers,580,640,60,0.1,190,430,680,27.36,56903.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9111,Medical and Health Services Managers,3180,4030,850,0.3,880,1970,3700,58.53,121733.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9121,Natural Sciences Managers,230,250,20,0.1,50,160,230,61.66,128252.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9131,Postmasters and Mail Superintendents,120,100,-20,-0.2,30,60,60,39.57,82313.00,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9141,"Property, Real Estate, and Community Association Managers",3200,3520,320,0.1,1250,1340,2910,25.40,52834.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9151,Social and Community Service Managers,2180,2410,230,0.1,680,1310,2230,30.42,63280.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9161,Emergency Management Directors,40,40,0,0.1,10,20,30,48.53,100952.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,11-9199,"Managers, All Other",5380,5870,500,0.1,1430,2840,4760,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1020,Buyers and Purchasing Agents,2800,2720,-70,-0.0,870,2010,2810,29.97,62338.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1031,"Claims Adjusters, Examiners, and Investigators",1840,1740,-100,-0.1,430,1080,1410,33.49,69647.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1041,Compliance Officers,1910,2030,130,0.1,550,1180,1850,34.62,72014.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1051,Cost Estimators,2680,2980,300,0.1,710,2070,3090,34.65,72059.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1071,Human Resources Specialists,3410,3710,300,0.1,950,2620,3870,29.99,62362.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1074,Farm Labor Contractors,200,200,0,0.0,50,150,200,25.74,53527.00,No formal educational credential,Less than 5 years,Short-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1075,Labor Relations Specialists,430,420,-10,-0.0,110,310,420,37.32,77620.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1081,Logisticians,1090,1220,130,0.1,270,830,1230,41.11,85501.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1111,Management Analysts,5100,5910,810,0.2,1710,3480,5990,38.00,79028.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1121,"Meeting, Convention, and Event Planners",580,640,60,0.1,200,500,760,22.47,46747.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1131,Fundraisers,390,430,40,0.1,140,290,460,19.15,39848.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1141,"Compensation, Benefits, and Job Analysis Specialists",640,680,40,0.1,220,410,670,30.08,62560.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1151,Training and Development Specialists,1780,2010,230,0.1,570,1470,2260,30.24,62892.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1161,Market Research Analysts and Marketing Specialists,2580,3200,620,0.2,680,2270,3570,25.79,53640.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-1199,"Business Operations Specialists, All Other",9960,10960,990,0.1,2840,7200,11030,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2011,Accountants and Auditors,7400,8030,630,0.1,2180,5020,7820,32.65,67908.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2021,Appraisers and Assessors of Real Estate,360,380,20,0.1,130,150,300,0.00,0.00,Bachelor's degree,None,Long-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2031,Budget Analysts,380,400,20,0.1,100,210,320,36.50,75928.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2041,Credit Analysts,330,330,0,0.0,70,220,300,34.88,72547.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2051,Financial Analysts,990,1070,90,0.1,200,680,960,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2052,Personal Financial Advisors,730,820,90,0.1,180,410,670,41.88,87119.00,Bachelor's degree,None,Long-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2053,Insurance Underwriters,270,240,-20,-0.1,60,150,190,34.95,72696.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2061,Financial Examiners,60,60,0,0.1,10,30,50,50.58,105210.00,Bachelor's degree,None,Long-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2071,Credit Counselors,320,310,-10,-0.0,80,190,250,26.51,55141.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2072,Loan Officers,1980,2030,50,0.0,480,1200,1720,30.03,62449.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2081,"Tax Examiners and Collectors, and Revenue Agents",1710,1620,-90,-0.1,650,730,1290,22.09,45940.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2082,Tax Preparers,760,830,70,0.1,390,510,980,15.88,33016.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,13-2099,"Financial Specialists, All Other",1080,1160,70,0.1,310,660,1040,0.00,0.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1111,Computer and Information Research Scientists,300,320,20,0.0,40,190,250,0.00,0.00,Master's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1121,Computer Systems Analysts,1960,2050,100,0.0,380,1070,1540,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1122,Information Security Analysts,160,200,40,0.2,30,100,170,0.00,0.00,Bachelor's degree,Less than 5 years,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1131,Computer Programmers,570,510,-70,-0.1,90,290,310,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1132,"Software Developers, Applications",1610,1970,360,0.2,250,1010,1620,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1133,"Software Developers, Systems Software",580,630,40,0.1,80,340,470,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1134,Web Developers,500,570,60,0.1,90,310,470,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1141,Database Administrators,340,370,30,0.1,70,180,280,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1142,Network and Computer Systems Administrators,1400,1450,60,0.0,240,760,1050,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1143,Computer Network Architects,280,300,20,0.1,40,160,220,0.00,0.00,Bachelor's degree,5 years or more,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1151,Computer User Support Specialists,2670,2950,270,0.1,520,1790,2580,0.00,0.00,"Some college, no degree",None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1152,Computer Network Support Specialists,790,860,70,0.1,150,520,740,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-1199,"Computer Occupations, All Other",2170,2380,210,0.1,370,1290,1860,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-2031,Operations Research Analysts,460,570,120,0.3,120,210,450,40.36,83948.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-2041,Statisticians,170,220,50,0.3,40,110,200,50.61,105256.00,Master's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,15-2090,Miscellaneous Mathematical Science Occupations,20,20,0,0.0,0,10,10,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-1011,"Architects, Except Landscape and Naval",420,460,40,0.1,110,230,380,40.69,84628.00,Bachelor's degree,None,Internship/residency
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-1012,Landscape Architects,70,80,10,0.1,20,40,60,46.94,97648.00,Bachelor's degree,None,Internship/residency
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-1021,Cartographers and Photogrammetrists,40,50,10,0.2,10,20,40,46.23,96159.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-1022,Surveyors,380,410,30,0.1,100,190,320,47.28,98345.00,Bachelor's degree,None,Internship/residency
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2011,Aerospace Engineers,610,660,50,0.1,130,270,460,54.45,113261.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2021,Agricultural Engineers,100,110,10,0.1,20,50,80,37.06,77069.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2041,Chemical Engineers,90,100,10,0.1,20,40,70,50.74,105528.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2051,Civil Engineers,2300,2460,170,0.1,490,1370,2020,54.94,114274.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2061,Computer Hardware Engineers,230,250,20,0.1,50,130,190,45.45,94538.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2071,Electrical Engineers,880,960,80,0.1,190,420,690,54.54,113453.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2072,"Electronics Engineers, Except Computer",970,1080,100,0.1,210,470,780,57.10,118763.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2081,Environmental Engineers,450,530,70,0.2,130,240,440,47.17,98106.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-2031,Chemists,440,470,40,0.1,70,340,450,37.48,77953.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",150,170,20,0.1,30,80,130,60.83,126520.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2112,Industrial Engineers,1080,1230,150,0.1,230,550,940,46.92,97602.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2131,Materials Engineers,100,110,10,0.1,20,40,70,42.69,88796.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2141,Mechanical Engineers,1170,1270,100,0.1,230,600,930,44.42,92410.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",120,110,-10,-0.1,20,60,80,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2171,Petroleum Engineers,860,830,-30,-0.0,140,470,590,65.31,135848.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-2199,"Engineers, All Other",1040,1130,90,0.1,220,530,830,53.86,112038.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3011,Architectural and Civil Drafters,720,740,20,0.0,240,510,770,26.05,54177.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3012,Electrical and Electronics Drafters,120,130,10,0.1,40,90,140,27.05,56253.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3013,Mechanical Drafters,340,340,0,0.0,110,240,350,28.55,59370.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3019,"Drafters, All Other",100,100,10,0.1,30,70,110,30.26,62934.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3021,Aerospace Engineering and Operations Technicians,50,60,10,0.2,20,40,60,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3022,Civil Engineering Technicians,480,510,30,0.1,160,320,510,34.01,70733.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3023,Electrical and Electronics Engineering Technicians,1070,1130,60,0.1,360,710,1130,43.04,89512.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3024,Electro-Mechanical Technicians,90,100,10,0.1,30,60,100,29.99,62365.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3025,Environmental Engineering Technicians,160,170,10,0.1,60,110,170,26.87,55901.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3026,Industrial Engineering Technicians,170,190,20,0.1,60,110,200,31.00,64477.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3027,Mechanical Engineering Technicians,130,150,20,0.1,50,90,150,27.95,58128.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3029,"Engineering Technicians, Except Drafters, All Other",1030,1110,80,0.1,350,690,1120,0.00,0.00,Associate's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,17-3031,Surveying and Mapping Technicians,390,410,30,0.1,110,360,500,30.65,63756.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-1012,Food Scientists and Technologists,440,470,30,0.1,90,420,540,38.05,79130.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-1013,Soil and Plant Scientists,210,230,20,0.1,40,200,270,43.21,89879.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-1022,Microbiologists,70,70,10,0.1,10,50,70,25.76,53586.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-1023,Zoologists and Wildlife Biologists,80,80,10,0.1,10,60,80,38.66,80411.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-1029,"Biological Scientists, All Other",270,320,50,0.2,50,230,320,36.63,76190.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-1031,Conservation Scientists,250,300,50,0.2,50,230,330,34.55,71848.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-1032,Foresters,30,30,0,-0.1,10,20,30,24.98,51955.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-1041,Epidemiologists,30,40,0,0.1,10,30,30,34.76,72299.00,Master's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-1042,"Medical Scientists, Except Epidemiologists",990,1190,200,0.2,150,820,1170,55.35,115121.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-1099,"Life Scientists, All Other",20,30,10,0.2,0,20,30,0.00,0.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-2012,Physicists,120,130,10,0.1,20,80,100,66.43,138177.00,Doctoral or professional degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-2041,"Environmental Scientists and Specialists, Including Health",830,930,100,0.1,160,790,1050,30.37,63188.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-2042,"Geoscientists, Except Hydrologists and Geographers",310,330,20,0.1,60,290,370,56.91,118385.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-2043,Hydrologists,80,100,20,0.2,20,80,110,33.24,69143.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-2099,"Physical Scientists, All Other",70,80,10,0.1,10,60,80,56.68,117891.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-3011,Economists,50,40,0,-0.0,10,30,30,49.24,102420.00,Master's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-3031,"Clinical, Counseling, and School Psychologists",3070,3500,430,0.1,730,1570,2730,54.61,113574.00,Doctoral or professional degree,None,Internship/residency
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-3039,"Psychologists, All Other",260,320,50,0.2,70,140,260,56.68,117899.00,Master's degree,None,Internship/residency
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-3051,Urban and Regional Planners,610,670,70,0.1,100,490,660,40.77,84808.00,Master's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-3091,Anthropologists and Archeologists,30,40,0,0.1,10,30,40,37.06,77078.00,Master's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-3099,"Social Scientists and Related Workers, All Other",140,150,10,0.1,40,120,170,39.03,81177.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-4011,Agricultural and Food Science Technicians,930,1020,100,0.1,210,970,1280,0.00,0.00,Associate's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-4021,Biological Technicians,470,530,60,0.1,80,450,590,19.10,39718.00,Bachelor's degree,None,None
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-4031,Chemical Technicians,480,510,30,0.1,90,400,520,19.17,39870.00,Associate's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-4041,Geological and Petroleum Technicians,460,460,10,0.0,60,400,470,0.00,0.00,Associate's degree,None,Moderate-term on-the-job training
Regional Planning Unit,San Joaquin Valley and Associated Counties,2018-2028,19-4091,"Environmental Science and Protection Technicians, Including Health",350,410,60,0.2,100,350,500,0.00,0.00,Associate's degree,None,None
